name,store,price,evaluate_num
小辣椒 红辣椒7X 4GB+64GB 人脸识别 全面屏双摄美拍 微Q八开 移动联通电信4G 双卡双待 蓝色,小辣椒手机京东自营官方旗舰店,￥899.00,2.4万+条评价
360 N6 Pro 全网通 4GB+64GB 深海蓝 移动联通电信4G 双卡双待 全面屏 游戏,360手机官方旗舰店,￥1399.00,18万+条评价
魅族 PRO6S 4GB+64GB 全网通公开版 香槟金 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥1199.00,8.7万+条评价
Apple iPhone 7 (A1660) 32G 黑色 移动联通电信4G,京东Apple产品专营店,￥3799.00,78万+条评价
荣耀 畅玩6A 3GB+32GB 金色 移动4G+,,￥749.00,7700+条评价
华为 HUAWEI 麦芒 6 全网通 4GB+64GB版 曜石黑 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1999.00,7.4万+条评价
努比亚 nubia Z18mini 全面屏 6GB+128GB 青瓷蓝 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥2099.00,8900+条评价
创星 V3 移动电信版 双卡双待 超薄可爱迷你儿童学生 女男卡片机 直板按键 音乐MP3特色 黑色 移动版,鸣逸手机通讯专营店,￥168.00,90+条评价
华为 HUAWEI nova 2S 全面屏四摄 6GB +64GB 曜石黑 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥2599.00,13万+条评价
魅族 魅蓝 6 全网通公开版 2GB+16GB 磨砂黑 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥599.00,15万+条评价
华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 金色 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1699.00,11万+条评价
华为 HUAWEI Mate 10 Pro 全网通 6GB+128GB 银钻灰 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥4699.00,17万+条评价
爱户外（ioutdoor） F1 移动/联通 直板按键防水三防老人  双卡双待 黄色,爱户外手机官方旗舰店,￥299.00,200+条评价
小米 红米Note5A 全网通版 3GB+32GB 铂银灰 移动联通电信4G 双卡双待,小米京东官方自营旗舰店,￥849.00,63万+条评价
OPPO A73 高配版 全面屏拍照 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1599.00,3.4万+条评价
小米Max2 大屏 4GB+128GB 黑色 全网通4G 双卡双待,小米京东官方自营旗舰店,￥1599.00,24万+条评价
OPPO R15 梦镜版 全面屏双摄拍照 6G+128G 陶瓷黑 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥3499.00,8700+条评价
Apple iPhone 7 Plus (A1661) 128G 玫瑰金色 移动联通电信4G,京东Apple产品专营店,￥5599.00,79万+条评价
小米 红米 4X 全网通版 2GB+16GB 香槟金 移动联通电信4G,小米京东官方自营旗舰店,￥699.90,47万+条评价
魅族 魅蓝A5 移动定制版 2GB+16GB 香槟金 移动联通4G 双卡双待,魅族京东自营官方旗舰店,￥499.00,5.2万+条评价
